dep,title,gen,tenure,setting,nps.cat,variable,value
Occupier A&amp;T Services,EVP,Born before 1964,16 years or more,A private office,Promoter,invests,Agree
Management/Leadership,Manager/Regional Manager,Born 1981-1990,6-10 years,A shared office or work room,Detractor,invests,Strongly Disagree
Asset Services,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,A private office,Promoter,invests,Agree
Global Workplace Solutions (GWS),Director,Born 1981-1990,6-10 years,A private office,Promoter,invests,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,invests,Agree
Business Services/Office Services,Administrative,Born 1965-1980,3-5 years,A shared office or work room,Promoter,invests,Strongly Agree
Agency/Landlord Brokerage,SVP,Born 1981-1990,11-15 years,A private office,Detractor,invests,Disagree
Communications and Marketing,Manager/Regional Manager,Born 1965-1980,3-5 years,Open workstation with low or no panels,Detractor,invests,Disagree
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,invests,Agree
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,invests,Disagree
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,invests,Disagree
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,invests,Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,invests,Agree
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,invests,Agree
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,invests,Strongly Agree
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,invests,Strongly Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,invests,Agree
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,invests,Disagree
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,invests,Agree
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,invests,Disagree
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,invests,Disagree
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,invests,Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,invests,Disagree
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,invests,Agree
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,invests,Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,invests,Agree
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,invests,Disagree
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,invests,Strongly Agree
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,invests,Disagree
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,invests,Disagree
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,invests,Disagree
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,invests,Disagree
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,invests,Strongly Disagree
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,invests,Disagree
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,invests,Strongly Disagree
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,invests,Strongly Disagree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,invests,Disagree
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,invests,Agree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,invests,Agree
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,invests,Agree
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,invests,Disagree
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,invests,Disagree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,invests,Strongly Disagree
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,invests,Agree
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,invests,Disagree
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,invests,Disagree
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,invests,Agree
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,invests,Strongly Disagree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,invests,Agree
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,invests,Agree
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,invests,Disagree
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,invests,Agree
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,invests,Disagree
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,invests,Agree
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,invests,Strongly Agree
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,invests,Agree
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,invests,Disagree
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,invests,Agree
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,invests,Disagree
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,invests,Agree
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,invests,Agree
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,invests,Disagree
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,invests,Disagree
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,invests,Agree
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,invests,Disagree
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,invests,Disagree
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,invests,Agree
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,invests,Disagree
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,invests,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,invests,Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,invests,Agree
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,invests,Disagree
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,invests,Disagree
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,invests,Agree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,invests,Agree
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,invests,Strongly Agree
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,invests,Disagree
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,welcoming,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,welcoming,Agree
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,welcoming,Strongly Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,welcoming,Agree
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,welcoming,Agree
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,welcoming,Disagree
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,welcoming,Agree
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,welcoming,Disagree
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,welcoming,Agree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,welcoming,Agree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,welcoming,Disagree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,welcoming,Disagree
Research,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,welcoming,Disagree
Financial Consulting Group,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,welcoming,Agree
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,welcoming,Agree
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,welcoming,Disagree
Occupier A&amp;T Services,SVP,Born 1965-1980,Less than 1 year,A private office,Promoter,welcoming,Disagree
