"dep","title","gen","tenure","setting","nps.cat","id","variable","value"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",16,"healthandwellbeing","Strongly Disagree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","Less than 1 year","A private office","Promoter",17,"healthandwellbeing","Disagree"
"Research","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",18,"healthandwellbeing","Strongly Disagree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1965-1980","11-15 years","Open workstation with low or no panels","Detractor",19,"healthandwellbeing","Strongly Disagree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",20,"healthandwellbeing","Strongly Disagree"
"Project Management","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",21,"healthandwellbeing","Agree"
"Occupier A&amp;T Services","Analyst/Sr Analyst","Born 1991 or after","1-2 years","I am not assigned to an individual workspace","Detractor",22,"healthandwellbeing","Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",23,"healthandwellbeing","Strongly Disagree"
"Occupier A&amp;T Services","Vice Chairman","Born 1965-1980","6-10 years","A private office","Detractor",24,"healthandwellbeing","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",25,"healthandwellbeing","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",26,"healthandwellbeing","Strongly Disagree"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",27,"healthandwellbeing","Agree"
"Communications and Marketing","Managing Director/Sr Managing Director","Born 1965-1980","1-2 years","A private office","Detractor",28,"healthandwellbeing","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Promoter",29,"healthandwellbeing","Agree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",30,"healthandwellbeing","Agree"
"IT","Manager/Regional Manager","Born 1965-1980","16 years or more","A shared office or work room","Detractor",31,"healthandwellbeing","Disagree"
"Management/Leadership","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",32,"healthandwellbeing","Agree"
"Capital Markets/Debt and Structured Finance","VP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",33,"healthandwellbeing","Disagree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","6-10 years","A private office","Promoter",34,"healthandwellbeing","Strongly Agree"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Detractor",35,"healthandwellbeing","Disagree"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",36,"healthandwellbeing","Disagree"
"Capital Markets/Debt and Structured Finance","FVP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",37,"healthandwellbeing","Strongly Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","16 years or more","A private office","Promoter",38,"healthandwellbeing","Disagree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",39,"healthandwellbeing","Disagree"
"Occupier A&amp;T Services","EVP","Born before 1964","16 years or more","A private office","Promoter",40,"healthandwellbeing","Disagree"
"Management/Leadership","Manager/Regional Manager","Born 1981-1990","6-10 years","A shared office or work room","Detractor",41,"healthandwellbeing","Strongly Disagree"
"Asset Services","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","A private office","Promoter",42,"healthandwellbeing","Agree"
"Global Workplace Solutions (GWS)","Director","Born 1981-1990","6-10 years","A private office","Promoter",43,"healthandwellbeing","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",44,"healthandwellbeing","Disagree"
"Business Services/Office Services","Administrative","Born 1965-1980","3-5 years","A shared office or work room","Promoter",45,"healthandwellbeing","Strongly Agree"
"Agency/Landlord Brokerage","SVP","Born 1981-1990","11-15 years","A private office","Detractor",46,"healthandwellbeing","Disagree"
"Communications and Marketing","Manager/Regional Manager","Born 1965-1980","3-5 years","Open workstation with low or no panels","Detractor",47,"healthandwellbeing","Disagree"
"Global Workplace Solutions (GWS)","Associate/ Sr Associate","Born 1965-1980","3-5 years","I am not assigned to an individual workspace","Passive",48,"healthandwellbeing","Disagree"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","I am not assigned to an individual workspace","Promoter",49,"healthandwellbeing","Disagree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","Less than 1 year","A private office","Detractor",50,"healthandwellbeing","Agree"
"Transaction Management","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",51,"healthandwellbeing","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",52,"healthandwellbeing","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","SVP","Born 1965-1980","6-10 years","A private office","Promoter",53,"healthandwellbeing","Disagree"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",54,"healthandwellbeing","Strongly Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",55,"healthandwellbeing","Disagree"
"Business Services/Office Services","Associate/ Sr Associate","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",56,"healthandwellbeing","Strongly Agree"
"Asset Services","Manager/Regional Manager","Born before 1964","16 years or more","Open workstation with low or no panels","Detractor",57,"healthandwellbeing","Strongly Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",58,"healthandwellbeing","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",59,"healthandwellbeing","Strongly Disagree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",60,"healthandwellbeing","Strongly Disagree"
"Global Workplace Solutions (GWS)","SVP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Detractor",61,"healthandwellbeing","Agree"
"Capital Markets/Investment Properties","SVP","Born 1981-1990","11-15 years","A private office","Detractor",62,"healthandwellbeing","Strongly Disagree"
"Corporate Services","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",63,"healthandwellbeing","Disagree"
"Asset Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",64,"healthandwellbeing","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Passive",65,"healthandwellbeing","Strongly Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","11-15 years","A private office","Passive",66,"healthandwellbeing","Agree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",67,"healthandwellbeing","Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",68,"healthandwellbeing","Agree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",69,"healthandwellbeing","Disagree"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Promoter",70,"healthandwellbeing","Strongly Agree"
"Business Services/Office Services","Manager/Regional Manager","Born 1981-1990","3-5 years","A shared office or work room","Detractor",71,"healthandwellbeing","Strongly Disagree"
"Global Workplace Solutions (GWS)","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",72,"healthandwellbeing","Strongly Disagree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","A private office","Passive",73,"healthandwellbeing","Agree"
"Capital Markets/Investment Properties","VP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",74,"healthandwellbeing","Agree"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",75,"healthandwellbeing","Disagree"
"Business Services/Office Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",76,"healthandwellbeing","Strongly Disagree"
"Global Workplace Solutions (GWS)","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",77,"healthandwellbeing","Agree"
"Project Management","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",78,"healthandwellbeing","Agree"
"Project Management","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",79,"healthandwellbeing","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",80,"healthandwellbeing","Agree"
"Capital Markets/Debt and Structured Finance","Vice Chairman","Born before 1964","3-5 years","A private office","Promoter",81,"healthandwellbeing","Strongly Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",82,"healthandwellbeing","Strongly Disagree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",83,"healthandwellbeing","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",84,"healthandwellbeing","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",85,"healthandwellbeing","Agree"
"Agency/Landlord Brokerage","EVP","Born 1965-1980","11-15 years","A private office","Detractor",86,"healthandwellbeing","Disagree"
"Occupier A&amp;T Services","EVP","Born before 1964","6-10 years","A private office","Detractor",87,"healthandwellbeing","Disagree"
